Ft,Fs,Depth
11.488,8.1817,5.9659
11.485,8.198,5.9933
11.48,8.2165,6.0386
11.475,8.2397,6.0737
11.47,8.2632,6.1173
11.463,8.2821,6.1668
11.457,8.3029,6.2077
11.453,8.32,6.2357
11.442,8.3378,6.2796
11.432,8.3626,6.328
11.421,8.3836,6.372
11.414,8.4054,6.4053
11.401,8.4259,6.4451
11.392,8.4463,6.4836
11.378,8.4686,6.5239
11.369,8.4878,6.554
11.357,8.511,6.591
11.344,8.5333,6.6246
11.329,8.5546,6.6601
11.315,8.5782,6.6941
11.299,8.6001,6.729
11.281,8.6233,6.7686
11.267,8.6478,6.8003
11.252,8.6723,6.8344
11.235,8.6947,6.8652
11.216,8.7185,6.8961
11.199,8.7443,6.9298
11.179,8.7669,6.9655
11.161,8.7905,7.0017
11.141,8.8127,7.0353
11.123,8.8355,7.0657
11.105,8.8581,7.0958
11.089,8.8773,7.1277
11.07,8.8945,7.1574
11.049,8.9135,7.1833
11.027,8.9303,7.2151
11.005,8.9466,7.2505
10.98,8.9646,7.2794
10.959,8.9828,7.3125
10.939,8.9984,7.3421
10.918,9.0166,7.368
10.896,9.0329,7.3947
10.876,9.0477,7.4192
10.855,9.0663,7.4483
10.833,9.0839,7.4803
10.81,9.1014,7.5105
10.786,9.1151,7.5347
10.763,9.1326,7.565
10.738,9.1495,7.5923
10.716,9.1637,7.6121
10.692,9.1831,7.6349
10.668,9.2007,7.6596
10.646,9.2182,7.6822
10.622,9.237,7.7065
10.597,9.2553,7.727
10.572,9.275,7.7468
10.548,9.2957,7.7693
10.526,9.3163,7.7962
10.502,9.3326,7.8148
10.479,9.3529,7.8357
10.454,9.3714,7.8525
10.432,9.3931,7.8727
10.406,9.4139,7.8905
10.382,9.4341,7.9077
10.361,9.4545,7.9275
10.336,9.4761,7.9498
10.311,9.4951,7.9628
10.285,9.5133,7.9727
10.26,9.534,7.9862
10.236,9.5559,8.0043
10.21,9.5786,8.0166
10.184,9.6006,8.0313
10.158,9.6224,8.0437
10.133,9.6454,8.0566
10.107,9.6692,8.0711
10.082,9.6916,8.0843
10.056,9.7126,8.0912
10.036,9.7351,8.1073
10.012,9.7592,8.1218
9.9876,9.7828,8.1344
9.9619,9.8049,8.1457
9.9359,9.8256,8.1534
9.9102,9.8461,8.161
9.8829,9.8696,8.1716
9.8583,9.8915,8.1791
9.8332,9.9146,8.1855
9.8065,9.9377,8.1942
9.78,9.959,8.1995
9.7511,9.9816,8.2074
9.7229,10.004,8.212
9.7017,10.027,8.2209
9.6729,10.051,8.2253
9.6439,10.076,8.2334
9.6172,10.101,8.2431
9.588,10.126,8.2499
9.5614,10.15,8.2572
9.5293,10.176,8.2604
9.5006,10.201,8.2686
9.4725,10.227,8.2764
9.4417,10.252,8.2794
9.4106,10.279,8.2817
9.3804,10.303,8.283
9.3488,10.328,8.2823
9.3198,10.355,8.2874
9.2914,10.381,8.2906
9.2609,10.406,8.2913
9.2331,10.432,8.2928
9.2023,10.458,8.2928
9.1722,10.484,8.2943
9.1414,10.512,8.2944
9.1138,10.539,8.2977
9.0851,10.566,8.3001
9.0541,10.592,8.3004
9.0251,10.62,8.302
8.9955,10.647,8.3055
8.9651,10.674,8.3057
8.9358,10.702,8.3021
8.9049,10.731,8.3053
8.8747,10.759,8.3032
8.8448,10.789,8.3061
8.8154,10.817,8.3052
8.7865,10.845,8.3038
8.7573,10.871,8.3028
8.7287,10.899,8.3008
8.7,10.923,8.3
8.6715,10.949,8.3007
8.6421,10.973,8.3006
8.6146,10.997,8.2993
8.5855,11.022,8.3013
8.5593,11.045,8.3024
8.531,11.068,8.3041
8.5043,11.091,8.3055
8.4752,11.112,8.3055
8.447,11.133,8.3065
8.4191,11.155,8.3074
8.3928,11.176,8.3083
8.3644,11.197,8.3094
8.3371,11.217,8.3081
8.3105,11.237,8.3099
8.283,11.257,8.3079
8.2577,11.275,8.3071
8.2316,11.295,8.3054
8.2065,11.314,8.3058
8.1798,11.332,8.3043
8.155,11.352,8.3063
8.1308,11.372,8.3091
8.1038,11.391,8.3084
8.0776,11.41,8.31
8.0535,11.431,8.3126
8.0275,11.45,8.3126
8.0012,11.471,8.3157
7.9761,11.491,8.3156
7.9519,11.511,8.3157
7.9283,11.547,8.3332
7.9056,11.585,8.3502
7.8816,11.623,8.3736
7.8576,11.661,8.3957
7.8331,11.698,8.421
7.8091,11.734,8.4459
7.7843,11.77,8.4695
7.7619,11.807,8.4975
7.7382,11.841,8.5178
7.7125,11.877,8.5373
7.686,11.912,8.552
7.6603,11.948,8.5799
7.6342,11.98,8.6046
7.607,12.011,8.6249
7.5799,12.045,8.6426
7.5536,12.076,8.6562
7.5242,12.104,8.677
7.4963,12.133,8.6961
7.4696,12.164,8.7189
7.4379,12.189,8.7402
7.4076,12.214,8.7619
7.3728,12.237,8.7802
7.3393,12.26,8.802
7.3053,12.284,8.822
7.2709,12.306,8.8434
7.2358,12.327,8.8612
7.2013,12.351,8.8901
7.1692,12.372,8.9113
7.1331,12.392,8.9335
7.0977,12.412,8.9435
7.0603,12.432,8.963
7.0225,12.452,8.9826
6.9846,12.472,9.0013
6.9474,12.492,9.0241
6.9089,12.513,9.0466
6.8736,12.533,9.0593
6.8374,12.553,9.0745
6.799,12.573,9.0957
6.7608,12.595,9.1182
6.7226,12.619,9.1425
6.6833,12.638,9.1655
6.6433,12.657,9.1883
6.6036,12.676,9.2069
6.5627,12.694,9.2254
6.5243,12.711,9.2429
6.4843,12.725,9.2474
6.4451,12.744,9.2653
6.4061,12.761,9.2825
6.3642,12.777,9.3025
6.3241,12.794,9.3207
6.2828,12.813,9.346
6.2421,12.832,9.3549
6.2006,12.849,9.3738
6.1614,12.866,9.3892
6.1207,12.881,9.3971
6.0789,12.897,9.4147
6.0378,12.908,9.4185
5.9961,12.922,9.4291
5.9556,12.938,9.4469
5.915,12.953,9.4615
5.8751,12.966,9.476
5.8347,12.979,9.4881
5.7937,12.992,9.5049
5.7528,13.006,9.5237
5.7127,13.018,9.5291
5.6717,13.031,9.5422
5.6325,13.045,9.5538
5.5912,13.055,9.5517
5.5503,13.064,9.5456
5.5087,13.079,9.5649
5.4666,13.091,9.5807
5.4258,13.103,9.5854
5.3859,13.111,9.5809
5.3461,13.12,9.5825
5.3076,13.132,9.5847
5.267,13.144,9.5981
5.2265,13.154,9.5979
5.1874,13.164,9.5919
5.1464,13.172,9.5881
5.1057,13.18,9.5833
5.0647,13.191,9.5887
5.0262,13.2,9.5762
4.9877,13.207,9.5616
4.9487,13.216,9.5505
4.9091,13.225,9.54
4.8695,13.229,9.5267
4.8307,13.234,9.4991
4.7929,13.237,9.4767
4.7522,13.241,9.4678
4.7149,13.246,9.4454
4.6759,13.252,9.4338
4.6387,13.253,9.4027
4.6001,13.257,9.3847
4.5627,13.261,9.3771
4.5248,13.266,9.3624
4.4879,13.267,9.3392
4.4508,13.267,9.3151
4.4131,13.268,9.2927
4.3762,13.269,9.272
4.3375,13.269,9.2606
4.2993,13.269,9.2381
4.2628,13.267,9.2102
4.2264,13.263,9.188
4.1899,13.262,9.1609
4.1533,13.258,9.1264
4.1162,13.256,9.0962
4.0781,13.251,9.0836
4.04,13.246,9.0602
4.0014,13.239,9.033
3.964,13.229,9.0063
3.9255,13.217,8.984
3.888,13.208,8.9483
3.8506,13.195,8.9253
3.8124,13.185,8.9101
3.7741,13.176,8.8928
3.7362,13.162,8.8761
3.6973,13.148,8.8663
3.6587,13.133,8.8537
3.6209,13.116,8.8367
3.5834,13.097,8.823
3.5467,13.073,8.8021
3.5086,13.049,8.7848
3.4715,13.024,8.7613
3.434,12.995,8.7382
3.3989,12.966,8.7111
3.3609,12.938,8.6904
3.3224,12.921,8.67
3.2835,12.905,8.6499
3.2448,12.903,8.6647
3.2065,12.906,8.6847
3.167,12.914,8.7025
3.1286,12.93,8.7203
3.091,12.956,8.7302
3.0541,12.983,8.7412
3.0194,13.02,8.7515
2.9838,13.058,8.7603
2.9454,13.096,8.7748
2.9083,13.137,8.7848
2.8706,13.179,8.7986
2.833,13.218,8.8097
2.7951,13.261,8.8232
2.7583,13.303,8.8293
2.7222,13.347,8.8426
2.687,13.393,8.8516
2.6513,13.443,8.8584
2.6137,13.499,8.8769
2.5778,13.556,8.8912
2.5429,13.618,8.909
2.5094,13.676,8.9149
2.4737,13.735,8.9215
2.439,13.797,8.9313
2.4044,13.869,8.9424
2.3697,13.937,8.9587
2.3377,14.009,8.9627
2.3043,14.079,8.9737
2.2708,14.146,8.9802
2.2378,14.216,8.9821
2.2054,14.287,8.9902
2.172,14.359,9.0037
2.1425,14.434,9.0081
2.1117,14.505,9.0101
2.0814,14.581,9.0142
2.0498,14.66,9.0245
2.0202,14.739,9.0297
1.9901,14.821,9.0364
1.9625,14.899,9.0417
1.9316,14.979,9.0505
1.9028,15.062,9.0571
1.8749,15.145,9.0651
1.8484,15.228,9.0706
1.8201,15.308,9.076
1.7929,15.387,9.0806
1.7676,15.465,9.0808
1.7396,15.544,9.0862
1.7134,15.623,9.0927
1.6879,15.704,9.0983
1.6638,15.781,9.104
1.6384,15.857,9.1079
1.6149,15.934,9.1098
1.5893,16.011,9.1104
1.5662,16.088,9.112
1.5415,16.166,9.116
1.5171,16.242,9.1186
1.4924,16.322,9.1205
1.4702,16.402,9.1247
1.4486,16.484,9.1306
1.4275,16.568,9.1327
1.4064,16.652,9.1324
1.3876,16.74,9.1359
1.3655,16.838,9.1362
1.3436,16.943,9.1393
1.3216,17.05,9.1432
1.3012,17.165,9.1483
1.2785,17.289,9.1563
1.2585,17.414,9.1595
1.2385,17.541,9.1616
1.2192,17.671,9.1659
1.1991,17.804,9.1722
1.1802,17.936,9.1739
1.1617,18.067,9.1778
1.1422,18.2,9.1871
1.1236,18.335,9.1954
1.1052,18.468,9.2019
1.0858,18.602,9.2088
1.0687,18.737,9.2143
1.0515,18.873,9.2229
1.0343,19.01,9.2319
1.0166,19.145,9.238
0.99783,19.283,9.2414
0.97984,19.426,9.2509
0.96135,19.57,9.259
0.94587,19.713,9.2688
0.92754,19.856,9.2772
0.91331,19.994,9.2867
0.89644,20.134,9.2957
0.87848,20.274,9.3035
0.8632,20.411,9.3087
0.8481,20.55,9.3192
0.83323,20.69,9.3325
0.81897,20.828,9.3437
0.80608,20.961,9.3508
0.7919,21.098,9.3619
0.77866,21.234,9.3703
0.76637,21.372,9.3801
0.7526,21.505,9.3896
0.73893,21.641,9.3989
0.72506,21.775,9.408
0.71177,21.91,9.4219
0.69432,22.045,9.4289
0.68058,22.177,9.4371
0.66731,22.307,9.445
0.6549,22.438,9.4542
0.64349,22.572,9.4664
0.63264,22.707,9.4787
0.62288,22.833,9.4876
0.61117,22.965,9.5007
0.59853,23.092,9.5126
0.58824,23.221,9.523
0.57794,23.352,9.5359
0.56892,23.479,9.5467
0.55949,23.605,9.5597
0.54509,23.729,9.5685
0.53817,23.853,9.5804
0.5316,23.976,9.5888
0.52198,24.096,9.5966
0.51536,24.217,9.607
0.50659,24.341,9.6165
0.50329,24.459,9.6294
0.4967,24.578,9.6364
0.49094,24.693,9.6442
0.48648,24.81,9.6562
0.48245,24.928,9.6677
0.47688,25.045,9.6795
0.47372,25.167,9.6947
0.46747,25.282,9.7031
0.46287,25.397,9.7122
0.45875,25.51,9.7229
0.45266,25.625,9.7343
0.44921,25.74,9.7471
0.44502,25.853,9.7575
0.44319,25.966,9.7711
0.43824,26.078,9.7795
0.43379,26.189,9.7883
0.43245,26.297,9.7984
0.4283,26.405,9.8063
0.42615,26.515,9.815
0.42352,26.624,9.8252
0.42077,26.734,9.839
0.41947,26.843,9.8472
0.4186,26.948,9.8584
0.41748,27.055,9.8651
0.41633,27.166,9.8759
0.41389,27.275,9.8876
0.41305,27.385,9.8993
0.41159,27.497,9.9109
0.41058,27.607,9.9213
0.40874,27.719,9.9299
0.40757,27.829,9.937
0.40514,27.942,9.9476
0.40516,28.054,9.955
0.40345,28.17,9.9617
0.40358,28.285,9.9699
0.40139,28.401,9.9767
0.40128,28.518,9.9855
0.40043,28.631,9.9908
0.40043,28.749,9.9975
0.39955,28.864,10.002
0.40005,28.976,10.006
0.39936,29.093,10.014
0.39805,29.21,10.019
0.39909,29.329,10.028
0.39726,29.449,10.036
0.39557,29.57,10.046
0.39379,29.691,10.052
0.39383,29.814,10.063
0.39165,29.936,10.069
0.38931,30.058,10.075
0.38999,30.181,10.083
0.39097,30.304,10.089
0.38879,30.428,10.095
0.38956,30.552,10.102
0.39004,30.676,10.107
0.39027,30.803,10.116
0.389,30.93,10.125
0.38938,31.059,10.135
